,resent,pslave1860,cottonsuit,coarea00,rugged,latitude,longitude,water1860,state.abb,sample.size
119,3.103149013,0.021868787,0.502594,0.161364479,37.97260666,36.38165609,-91.81824507,0,AR,7.067098577
120,3.371773072,0.080500296,0.382716667,0.186919849,64.34947205,34.57667567,-93.15040286,0,AR,93.01822277
121,5,0.297922969,0.4146975,0.160556274,14.98081303,34.29003357,-92.42363455,0,AR,8.976891353
122,4.491780939,0.036077946,0.601636111,0.150276729,22.79411125,36.11767008,-90.55903736,0,AR,25.45237331
123,4,0.385874616,0.461516,0.186847392,18.98778343,33.73538694,-93.66843367,1,AR,4.073503815
124,2.393550432,0.126869167,0.401977083,0.157831353,50.2262764,34.31761927,-92.94599989,0,AR,8.5972136
125,NA,0.261375108,0.416866667,0.150592694,64.05381012,34.08866805,-93.99345366,0,AR,1.06163861
126,3.980931982,0.093450758,0.42925,0.199090983,57.70095825,35.74158373,-91.56976316,1,AR,39.97181624
127,3.035562191,0.056283454,0.444711905,0.151372374,36.58945084,36.09486936,-91.91340686,1,AR,9.879663058
128,4.5,0.241589631,0.411605556,0.165293394,30.20139313,35.59926603,-91.21462054,1,AR,2.902796715
129,3,0.482599076,0.443106944,0.231675795,16.14456749,34.2687688,-91.9315066,1,AR,10.72133205
130,3.797117036,0.12728923,0.392879545,0.175825728,159.8008728,35.57006902,-93.45989472,1,AR,20.01134926
131,4,0.475872631,0.70784,0.136568539,12.28035545,33.24091733,-93.60709314,1,AR,4.145351099
132,4,0.052710201,0.41682619,0.15337079,31.36919403,36.04123264,-91.10703722,1,AR,8.458633776
133,NA,0.481298333,0.45524,0.144541787,17.37328529,33.95743926,-91.73330569,1,AR,1.94781661
134,3.434631852,0.320083682,0.51852619,0.142246661,14.99413586,33.70052142,-94.23428746,1,AR,5.46522724
135,5,0.104907146,0.540165,0.187543422,112.7818298,35.21528731,-93.7163384,1,AR,16.81413754
136,4.483012947,0.31712389,0.601808621,0.204595294,11.48622608,34.75420942,-91.88864838,0,AR,33.01703198
137,4.5,0.038242894,0.321421212,0.216744817,82.18273163,36.01097192,-93.7245558,0,AR,1.5867684
138,4.191509729,0.0392195,0.400098,0.166323184,59.6468277,36.26833931,-92.68423745,1,AR,18.33632722
139,NA,0.509333648,0.798527778,0.159869105,16.2114563,33.31207945,-93.89158333,1,AR,10.38439449
140,5,0.375096277,0.526078788,0.237144267,3.849132061,35.76427791,-90.05400787,1,AR,18.81231782
141,5,0.027902088,0.372732759,0.203561818,74.99214172,34.53879421,-93.65953974,0,AR,5.14553798
142,NA,0.007073386,0.25432963,0.212906992,127.5561447,35.91997678,-93.21786905,0,AR,2.407414165
143,3,0.346165739,0.417012963,0.186078825,18.14388466,33.59328062,-92.88193718,1,AR,4.935666344
144,3.229979549,0.122920892,0.485711364,0.143250296,83.62251282,34.94738356,-92.93147235,1,AR,9.870572198
145,NA,0.584039669,0.466758929,0.184796762,11.27919197,34.42824496,-90.84798751,1,AR,6.036293111
146,NA,0.056397516,0.413926087,0.155360464,58.96892929,34.16366146,-93.6564533,0,AR,1.331855798
147,4.789312005,0.318444166,0.620396296,0.196608058,10.67051411,35.57402095,-90.66290096,1,AR,18.8843406
148,3.932000295,0.04035664,0.374519118,0.219246244,94.59660339,34.48586097,-94.22806522,0,AR,16.32257647
149,3.808462358,0.124064442,0.473617143,0.213610606,141.554245,35.44761795,-93.034161,1,AR,28.42380364
150,NA,0.326445504,0.614626923,0.172441791,6.166879177,34.82971946,-91.55273633,1,AR,0.899712011
151,3.939691422,0.299598256,0.474248214,0.206021854,38.42251587,34.7699071,-92.31177543,1,AR,134.4092426
152,4.375351358,0.056547537,0.421397917,0.170614906,39.39185715,36.34144925,-91.02776496,1,AR,13.74711208
153,NA,0.340071582,0.590278,0.164329153,14.60229683,35.0220233,-90.74774656,1,AR,4.179539912
154,3.136164898,0.138086235,0.415894444,0.185995575,76.41421509,34.64664755,-92.67657055,0,AR,50.97309799
155,NA,0.054570915,0.421034375,0.22931133,94.64414978,34.86078388,-94.06324716,0,AR,1.851675681
156,3,0.017643711,0.340441667,0.172867126,107.058342,35.91088225,-92.69950418,0,AR,3.768537272
157,4.433023713,0.073609006,0.492222222,0.139983966,87.4627533,35.19924224,-94.27404123,1,AR,46.94927892
158,4.757430345,0.320083682,0.438483333,0.146917087,38.02692795,33.99724913,-94.24119621,0,AR,12.01154768
159,4.876159561,0.052710201,0.445115217,0.157274195,39.78559875,36.16111912,-91.47987253,0,AR,14.80654994
160,4.709121452,0.057911779,0.3406625,0.157504577,88.6716156,35.85987988,-92.15671499,1,AR,6.391570135
161,4.005164226,0.515218099,0.445684211,0.264226928,17.9279232,33.17126493,-92.59730211,1,AR,9.982312159
162,4,0.047709953,0.414269643,0.186536308,103.9296188,35.58063363,-92.51570149,0,AR,10.40985009
163,4.168585197,0.101751516,0.345596053,0.247449212,79.26659393,35.98001406,-94.2146747,0,AR,124.4725842
164,4.710841113,0.172198172,0.533277143,0.267455152,49.03913498,35.25618423,-91.74558365,1,AR,29.81612556
165,NA,0.261499246,0.404336111,0.152243786,4.60292387,35.18630873,-91.24303179,1,AR,0.21427019
166,4.428284781,0.157587241,0.518213235,0.2426785,93.74998474,35.00260942,-93.41124794,1,AR,6.504141796
167,NA,NA,NA,NA,NA,NA,NA,NA,AR,0.838927486
293,4.108704243,0.541423712,0.667519697,0.233985293,13.95552731,29.67477039,-82.35757432,0,FL,142.6896049
294,5,0.444037882,0.559491176,0.143140332,7.247014999,30.33122285,-82.28461529,0,FL,6.45949781
295,4.185098241,0.241300517,0.454005556,0.214320774,NA,30.26525128,-85.62023792,1,FL,89.56408482
296,3.819190342,0.498807434,0.710438889,0.072598881,8.056865692,29.95017879,-82.16891093,0,FL,9.821081892
297,4.267941827,0.240127026,0.587795349,0.308570972,5.63004303,28.2935011,-80.73221493,1,FL,352.7845161
298,3.755898207,0.024096386,0.679924419,0.285559717,NA,26.15184141,-80.48774737,1,FL,529.1237792
299,5,0.336587779,0.467632609,0.139661278,16.09586334,30.40607344,-85.1972203,1,FL,6.188417206
300,4.015799253,0.200123104,0.51318913,0.175466497,NA,26.90566894,-81.91152282,1,FL,103.8311002
301,3.758995038,0.166666667,0.638686957,0.144674527,12.05234337,28.85247953,-82.46046023,1,FL,198.0844174
302,3.62411538,0.282143785,0.570166667,0.155848379,18.07720947,29.9830755,-81.85788714,1,FL,107.4219592
303,3.856752324,0.154823206,0.502536029,0.480414757,NA,26.11690922,-81.34449896,1,FL,107.098429
