female,educ,race,minority,hispanic,marstat,faminc,age,given
1,graduate,1,0,2,1,120.057,64,300
0,graduate,1,0,2,1,86.512,74,100
0,college,1,0,2,1,75.029,78,100
1,college,1,0,2,5,211.698,66,500
0,graduate,1,0,2,1,77.709,78,100
0,college,1,0,2,1,100.278,41,10
1,college,1,0,2,3,74.739,73,500
1,graduate,1,0,2,1,94.091,66,1000
1,college,1,0,2,1,60.289,71,50
0,graduate,1,0,2,1,323.229,68,250
1,college,1,0,2,1,78.195,65,750
1,college,1,0,2,1,225.572,69,100
0,college,2,1,2,6,52.063,55,500
1,graduate,1,0,2,1,75.045,66,1200
0,college,1,0,2,3,43.181,64,100
1,graduate,1,0,2,5,231.713,34,44
0,college,1,0,2,6,55.716,65,50
1,college,1,0,2,3,59.193,70,3000
1,college,1,0,2,1,133.708,54,1000
0,graduate,1,0,2,1,211.876,76,2000
1,college,1,0,2,5,57.89,70,200
0,college,1,0,2,1,116.562,59,250
1,college,1,0,2,1,51.541,65,25
0,college,1,0,2,5,8.053,56,200
0,college,1,0,2,5,4.201,39,20
0,graduate,1,0,2,1,92.929,63,100
1,college,1,0,2,3,20.243,71,100
1,graduate,1,0,2,1,243.303,61,100
1,college,1,0,2,1,135.264,51,50
1,graduate,1,0,2,1,476.643,67,500
0,graduate,1,0,2,6,146.116,56,500
0,college,1,0,2,4,14.774,64,1000
1,college,2,1,2,5,32.144,36,200
1,college,1,0,2,5,129.78,49,100
0,college,1,0,2,3,60.335,82,300
0,graduate,1,0,2,1,159.564,44,1000
0,college,1,0,2,1,45.222,72,100
1,college,4,1,2,4,133.313,37,100
0,graduate,1,0,2,5,119.17,65,200
1,graduate,1,0,2,1,111.604,48,50
1,college,1,0,2,6,69.947,42,100
0,college,2,1,2,1,99.77,67,500
1,college,1,0,2,2,57.291,67,100
0,college,1,0,2,1,76.034,66,100
1,college,1,0,2,1,80.657,63,150
1,college,6,1,2,5,37.099,24,20
1,college,1,0,2,5,147.788,64,50
0,college,1,0,2,1,241.935,81,400
0,college,1,0,2,3,58.044,71,400
1,college,1,0,2,5,30.957,50,200
0,college,1,0,2,5,498.959,32,500
0,college,1,0,2,1,154.441,77,60
0,college,1,0,2,1,126.97,57,200
1,graduate,1,0,2,1,130.325,70,1300
0,graduate,1,0,2,1,157.578,50,300
1,college,1,0,2,4,51.516,64,100
1,college,1,0,2,5,26.228,75,25
1,college,1,0,2,1,146.736,72,500
0,college,1,0,2,1,132.684,65,5
0,college,1,0,2,4,66.341,86,850
1,college,1,0,2,1,57.112,49,100
1,college,1,0,2,1,39.955,74,35
1,highschool,1,0,2,6,60.732,66,150
0,college,1,0,2,6,96.787,62,150
0,graduate,1,0,2,1,107.619,86,100
1,graduate,1,0,2,3,63.552,53,550
0,college,1,0,2,3,69.805,64,200
1,graduate,3,1,2,1,172.137,58,1500
1,college,1,0,2,4,62.77,82,500
0,graduate,1,0,2,3,12.399,63,500
0,college,1,0,2,1,139.844,66,100
1,graduate,1,0,2,1,81.684,76,700
1,college,1,0,2,6,57.334,40,50
0,college,1,0,2,1,133.096,38,475
1,graduate,1,0,2,1,124.658,49,200
1,college,1,0,2,1,133.922,75,10
1,college,1,0,2,4,48.261,68,100
0,graduate,1,0,2,1,265.922,63,5000
0,college,1,0,2,1,97.255,58,100
0,college,1,0,2,1,63.684,65,50
1,graduate,1,0,2,4,198.061,81,1000
0,college,1,0,2,1,85.238,30,50
1,graduate,1,0,2,3,78.64,43,200
1,college,1,0,2,3,44.565,75,100
1,college,1,0,2,5,49.266,22,40
0,college,1,0,2,1,95.457,78,200
1,college,1,0,2,1,88.71,71,50
1,college,1,0,2,3,76.424,71,1500
1,college,1,0,2,1,109.077,67,25
0,college,1,0,2,1,121.837,64,100
0,college,1,0,2,4,18.219,60,50
0,graduate,7,1,2,1,96.947,76,150
1,college,1,0,2,1,97.554,63,200
1,graduate,1,0,2,4,133.439,81,2000
1,college,1,0,2,1,63.843,62,1000
0,graduate,1,0,2,1,103.259,64,100
0,college,1,0,2,4,76.31,55,200
1,graduate,1,0,2,3,100.695,72,50
1,graduate,1,0,2,1,103.159,45,60
0,graduate,1,0,2,1,157.888,56,35
0,college,1,0,2,6,180.182,48,200
0,college,1,0,2,1,136.053,52,200
0,college,1,0,2,1,155.157,73,50
1,college,1,0,2,3,51.346,28,300
0,college,1,0,2,1,78.649,85,200
1,graduate,1,0,2,5,71.117,65,25
0,highschool,1,0,2,3,4.298,56,100
1,college,1,0,2,1,38.728,64,5
1,college,1,0,2,4,31.538,69,100
1,graduate,1,0,2,3,36.661,60,25
0,college,5,1,2,1,139.598,69,1000
1,college,1,0,2,5,63.709,75,150
0,college,1,0,2,1,113.096,74,100
0,college,1,0,2,1,146.613,35,2500
0,college,1,0,2,1,173.668,70,100
1,college,1,0,2,1,39.947,74,200
1,graduate,1,0,2,1,115.569,68,100
1,college,1,0,2,5,51.649,57,100
0,graduate,1,0,2,1,248.147,73,100
1,college,1,0,2,3,64.047,62,100
1,college,1,0,2,3,68.677,71,200
1,graduate,1,0,2,1,130.972,61,500
0,college,1,0,2,5,102.583,48,500
0,graduate,1,0,2,1,324.625,49,200
1,college,3,1,2,3,42.15,42,10
0,graduate,1,0,2,5,66.982,54,100
1,college,1,0,2,1,44.29,35,10
1,college,1,0,2,3,117.378,61,100
